ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
AGAP029695-PA	0.764706	NA	2.615454	1	AGAP029695-PA
TCONS_00028833_3+	0.764706	NA	2.614510	2	TCONS_00028833_3+
ACOM026541-PA	0.764706	NA	2.609608	1	ACOM026541-PA
AGAP010238-RA_2+	0.764706	NA	2.605593	1	AGAP010238-RA_2+,CUFF.12114.1_1+,CUFF.12114.2_3+,CUFF.12114.3_3+,CUFF.12114.4_3+,CUFF.12114.5_3+,CUFF.12114.6_1+
ACOM026532-PA	0.764706	NA	2.604838	1	ACOM026532-PA,AGAP012133-RA_1+,AGAP028750-PA
AGAP002631-PA	0.767857	NA	2.583342	1	AGAP002631-PA,AGAP002631-RA_1+
AGAP006581-PA	0.767857	NA	2.576550	1	AGAP006581-PA,CUFF.2130.1_1+
CUFF.9969.4_1+	0.767857	NA	2.570283	1	CUFF.9969.4_1+,CUFF.9969.5_2+
AGAP007582-RA_3+	0.767857	NA	2.558443	2	AGAP007582-RA_3+,CUFF.2927.1_3+,CUFF.2927.2_3+
AGAP003794-RA_1+	0.767857	NA	2.540809	1	AGAP003794-RA_1+,AGAP003794-RB_1+
AGAP009554-RA_2+	0.819672	NA	2.518090	1	AGAP009554-RA_2+,CUFF.11344.10_2+,CUFF.11344.11_2+,CUFF.11344.12_3+,CUFF.11344.13_2+,CUFF.11344.16_3+,CUFF.11344.17_2+,CUFF.11344.1_2+,CUFF.11344.2_1+,CUFF.11344.4_2+,CUFF.11344.5_2+,CUFF.11344.6_2+,CUFF.11344.7_2+,CUFF.11344.8_2+,CUFF.11344.9_3+
AGAP009856-RA_2+	0.819672	NA	2.506277	1	AGAP009856-RA_2+
AGAP003417-RA_2+	0.819672	NA	2.501301	1	AGAP003417-RA_2+,AGAP003417-RB_2+,CUFF.5109.1_2+
ACOM039391-PA	0.819672	NA	2.498729	1	ACOM039391-PA,AGAP006649-PA,AGAP006649-RA_1+
AGAP000066-RA_3+	0.819672	NA	2.497511	1	AGAP000066-RA_3+,CUFF.15881.1_3+
sp|Q12057|PIN2_YEAST	0.833663	NA	2.479683	1	sp|Q12057|PIN2_YEAST
CUFF.4442.1_1+	0.833663	NA	2.475288	1	CUFF.4442.1_1+
CUFF.10700.2_3+	0.833663	NA	2.464542	1	CUFF.10700.2_3+
AGAP007806-RA_1+	0.833663	NA	2.461445	1	AGAP007806-RA_1+,AGAP007806-RB_1+,AGAP007806-RC_1+,CUFF.9488.1_3+,CUFF.9488.2_3+
ACOM033473-PA	0.833663	NA	2.437505	2	ACOM033473-PA,AGAP010054-RA_2+,AGAP029444-PA,CUFF.11971.2_2+
AGAP001194-RA_3+	0.833663	NA	2.432068	1	AGAP001194-RA_3+,CUFF.3021.1_1+,CUFF.3021.2_1+,CUFF.3021.3_1+
AGAP010530-RA_1+	0.833663	NA	2.385411	1	AGAP010530-RA_1+,CUFF.7001.1_3+
CUFF.7915.1_2+	0.833663	NA	2.381329	1	CUFF.7915.1_2+
ACOM027880-PA	0.833663	NA	2.375912	1	ACOM027880-PA,AGAP005333-RA_1+,AGAP029559-PA
AGAP000781-RA_2+	0.833663	NA	2.370891	1	AGAP000781-RA_2+,CUFF.16824.1_3+
AGAP010611-RA_3+	0.833663	NA	2.364252	1	AGAP010611-RA_3+,CUFF.7129.1_3+
CUFF.4916.1_1+	0.833663	NA	2.361797	1	CUFF.4916.1_1+
CUFF.9223.3_3+	0.833663	NA	2.355728	1	CUFF.9223.3_3+
AGAP000875-RA_3+	0.833663	NA	2.342216	1	AGAP000875-RA_3+
CUFF.8268.1_2+	0.833663	NA	2.328749	1	CUFF.8268.1_2+
ACOM030562-PA	0.833663	NA	2.320953	1	ACOM030562-PA,AGAP008080-PA,AGAP008080-RA_1+
ACOM028094-PA	0.833663	NA	2.300645	1	ACOM028094-PA,AGAP028061-PA,AGAP028061-RA_1+,CUFF.10212.1_3+,CUFF.10212.2_2+
AGAP008917-PA	0.833663	NA	2.294250	1	AGAP008917-PA,AGAP008917-RA_1+,CUFF.10470.1_2+,CUFF.10470.2_2+
AGAP001618-RA_1+	0.833663	NA	2.289746	1	AGAP001618-RA_1+,CUFF.3372.1_3+
ACOM035672-PA	0.833663	NA	2.268619	1	ACOM035672-PA
ACOM028896-PA	0.833663	NA	2.262615	1	ACOM028896-PA,AGAP000178-PA,AGAP000178-RA_2+,CUFF.16024.1_2+
ACOM030493-PA	0.833663	NA	2.253560	2	ACOM030493-PA
ACOM027985-PA	0.833663	NA	2.248004	1	ACOM027985-PA
ACOM041045-PA	0.833663	NA	2.241665	1	ACOM041045-PA,AGAP004610-PA,AGAP004610-RA_1+
sp|Q07458|RXT3_YEAST	0.833663	NA	2.240832	1	sp|Q07458|RXT3_YEAST
AGAP006451-RA_2+	0.833663	NA	2.225708	1	AGAP006451-RA_2+,CUFF.1949.1_2+,CUFF.1949.2_2+
AGAP011217-RA_3+	0.833663	NA	2.214666	1	AGAP011217-RA_3+,CUFF.7954.1_2+,CUFF.7954.2_2+,CUFF.7954.3_3+,CUFF.7954.4_2+
sp|P32367|TFC1_YEAST	0.833663	NA	2.201706	1	sp|P32367|TFC1_YEAST
ACOM029459-PA	0.833663	NA	2.199275	1	ACOM029459-PA
TCONS_00027310_2+	0.833663	NA	2.189351	1	TCONS_00027310_2+
CUFF.11264.1_1+	0.833663	NA	2.188196	1	CUFF.11264.1_1+
AGAP008818-RA_3+	0.833663	NA	2.183818	1	AGAP008818-RA_3+,CUFF.10332.1_3+
ACOM030127-PA	0.833663	NA	2.180244	1	ACOM030127-PA,AGAP008341-PA,AGAP008341-RA_1+,CUFF.9860.1_2+
CUFF.11299.2_1+	0.833663	NA	2.174364	1	CUFF.11299.2_1+,CUFF.11299.6_2+
AGAP007897-RA_2+	0.833663	NA	2.165735	1	AGAP007897-RA_2+,AGAP007898-RA_2+,CUFF.9891.1_2+
AGAP001458-RA_3+	0.833663	NA	2.157481	1	AGAP001458-RA_3+
TCONS_00014998_3+	0.833663	NA	2.145819	1	TCONS_00014998_3+,TCONS_00014999_3+
AGAP011177-RA_1+	0.833663	NA	2.132718	1	AGAP011177-RA_1+,CUFF.7936.3_1+,CUFF.7936.4_2+,CUFF.7936.6_2+
TCONS_00015650_1+	0.833663	NA	2.127044	1	TCONS_00015650_1+
AGAP006901-RA_3+	0.833663	NA	2.122704	1	AGAP006901-RA_3+,CUFF.2369.7_3+
sp|P38427|TSL1_YEAST	0.833663	NA	2.121501	1	sp|P38427|TSL1_YEAST
sp|Q06324|MMR1_YEAST	0.833663	NA	2.111091	1	sp|Q06324|MMR1_YEAST
CUFF.17574.1_2+	0.833663	NA	2.104483	1	CUFF.17574.1_2+,CUFF.17574.2_2+
sp|Q08969|GRE1_YEAST	0.833663	NA	2.100441	1	sp|Q08969|GRE1_YEAST
CUFF.6323.1_3+	0.833663	NA	2.098051	1	CUFF.6323.1_3+,CUFF.6323.2_3+
CUFF.1731.1_3+	0.833663	NA	2.097346	1	CUFF.1731.1_3+,CUFF.1731.2_3+,CUFF.1731.3_3+,CUFF.1731.4_3+,CUFF.1731.5_2+
AGAP011079-RA_3+	0.833663	NA	2.092637	1	AGAP011079-RA_3+,CUFF.7775.1_1+,CUFF.7775.2_1+,CUFF.7775.3_2+
CUFF.1840.3_2+	0.833663	NA	2.092094	1	CUFF.1840.3_2+,CUFF.1840.6_3+
CUFF.9744.1_3+	0.833663	NA	2.087099	2	CUFF.9744.1_3+
AGAP007568-RA_2+	0.833663	NA	2.084770	1	AGAP007568-RA_2+
AGAP006042-RA_1+	0.833663	NA	2.082229	1	AGAP006042-RA_1+,AGAP006042-RB_2+,CUFF.1634.10_1+,CUFF.1634.1_3+,CUFF.1634.2_1+,CUFF.1634.3_3+,CUFF.1634.4_3+,CUFF.1634.5_3+,CUFF.1634.6_1+,CUFF.1634.7_2+,CUFF.1634.8_1+,CUFF.1634.9_1+
CUFF.3006.12_3+	0.833663	NA	2.080076	1	CUFF.3006.12_3+
AGAP009619-RA_1+	0.833663	NA	2.067857	1	AGAP009619-RA_1+,CUFF.11251.1_3+,CUFF.11251.2_3+,CUFF.11251.3_3+
CUFF.7839.1_2+	0.833663	NA	2.041971	1	CUFF.7839.1_2+,CUFF.7839.2_1+,CUFF.7839.3_3+,CUFF.7839.4_1+,CUFF.7839.5_1+,CUFF.7839.6_3+,CUFF.7839.7_1+,CUFF.7839.8_3+
ACOM025287-PA	0.833663	NA	2.033410	1	ACOM025287-PA,AGAP007119-PA
AGAP008377-RA_3+	0.833663	NA	2.022447	1	AGAP008377-RA_3+,CUFF.9911.1_3+
AGAP007105-RA_2+	0.833663	NA	2.013509	1	AGAP007105-RA_2+
CUFF.3464.1_2+	0.833663	NA	2.012595	1	CUFF.3464.1_2+,CUFF.3464.2_2+,CUFF.3464.3_2+,CUFF.3464.4_1+
CUFF.9888.3_2+	0.833663	NA	1.986088	1	CUFF.9888.3_2+,CUFF.9888.6_2+,CUFF.9888.9_2+
ACOM027129-PA	0.833663	NA	1.984813	1	ACOM027129-PA,AGAP009177-PA,AGAP009177-RA_2+
AGAP008903-RA_1+	0.833663	NA	1.978249	1	AGAP008903-RA_1+,CUFF.10437.1_3+
sp|P23287|PP2B1_YEAST	0.833663	NA	1.976191	1	sp|P23287|PP2B1_YEAST
sp|Q00947|STP1_YEAST	0.833663	NA	1.975248	1	sp|Q00947|STP1_YEAST
AGAP006205-RA_1+	0.833663	NA	1.968125	1	AGAP006205-RA_1+,CUFF.1762.1_2+
CUFF.7322.2_3+	0.833663	NA	1.963368	1	CUFF.7322.2_3+
AGAP009240-RA_3+	0.833663	NA	1.962239	1	AGAP009240-RA_3+,CUFF.10854.1_3+
CUFF.10818.1_3+	0.833663	NA	1.961719	1	CUFF.10818.1_3+,CUFF.10818.2_2+,CUFF.10818.3_1+,CUFF.10818.5_2+,CUFF.10818.7_3+,CUFF.10818.8_3+,CUFF.10818.9_2+
